annotator	line_number	vclaim_id	vclaim_url	date	label	sentence	vclaim	stance	verdict	
ai	36	4319	http://politifact.com/ohio/statements/2016/sep/15/american-unity-pac/pac-blames-ted-strickland-iran-deal-he-didnt-vote/	on Thursday, September 15th, 2016	FALSE	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.	discuss	unknown	
ai	36	5967	http://politifact.com/truth-o-meter/statements/2015/sep/17/mike-huckabee/huckabee-us-giving-iran-equivalent-5-trillion/	on Wednesday, September 16th, 2015	Half-True	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	We've just now given over $100 billion to Iran, "the equivalent in U.S. terms is $5 trillion."	agree	unknown	
ni	36	2137	http://politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/	on Friday, April 27th, 2018	Half-True	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	agree	unknown	
ni	36	224	http://politifact.com/truth-o-meter/statements/2019/aug/27/donald-trump/donald-trump-miscasts-money-and-terms-iran-nuclear/	on Tuesday, August 27th, 2019	Mostly False	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.	agree	FALSE	
ni	36	5254	http://politifact.com/truth-o-meter/statements/2016/mar/17/donald-trump/no-donald-trump-we-are-not-giving-iran-150-billion/	on Thursday, March 17th, 2016	FALSE	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	Under the Iran nuclear deal, "we give them $150 billion, we get nothing."	agree	FALSE	
ai	37	2137	http://politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/	on Friday, April 27th, 2018	Half-True	It's inconceivable  $1.8 billion.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	not-claim	not-claim	
ai	37	224	http://politifact.com/truth-o-meter/statements/2019/aug/27/donald-trump/donald-trump-miscasts-money-and-terms-iran-nuclear/	on Tuesday, August 27th, 2019	Mostly False	It's inconceivable  $1.8 billion.	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.	not-claim	not-claim	
ai	38	6626	http://politifact.com/texas/statements/2015/mar/13/ted-cruz/ted-cruz-says-iran-annually-has-death-america-holi/	on Friday, March 13th, 2015	Mostly False	And all they do is scream death to America, death to America.	Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.	agree	FALSE	
ai	38	2677	http://politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/	on Thursday, November 16th, 2017	FALSE	And all they do is scream death to America, death to America.	Irans regime "every Friday declares war on us."	repeated	repeated	
ni	38	2677	http://politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/	on Thursday, November 16th, 2017	FALSE	And all they do is scream death to America, death to America.	Irans regime "every Friday declares war on us."	agree	FALSE	
ai	39	8547	http://politifact.com/truth-o-meter/statements/2013/dec/03/bob-corker/corker-said-congress-dragged-obama-kicking-and-scr/	on Tuesday, December 3rd, 2013	Mostly False	And by the way, they're not screaming it so much anymore.	The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).	unrelated	unknown	
ai	40	8547	http://politifact.com/truth-o-meter/statements/2013/dec/03/bob-corker/corker-said-congress-dragged-obama-kicking-and-scr/	on Tuesday, December 3rd, 2013	Mostly False	They were screaming it with him.	The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).	unrelated	unknown	
ai	51	4614	http://politifact.com/truth-o-meter/statements/2016/jul/25/tim-kaine/does-donald-trump-want-privatize-va/	on Monday, July 25th, 2016	Mostly False	now confirmed that he is no longer going to be a candidate to lead the V.A.	Says "Donald Trump is a guy who has called for privatization" of the Veterans Administration.	unrelated	unknown	
ai	127	4614	http://politifact.com/truth-o-meter/statements/2016/jul/25/tim-kaine/does-donald-trump-want-privatize-va/	on Monday, July 25th, 2016	Mostly False	you could take the head of the biggest hospital corporation of the world and it's peanuts compared to the V.A., so nobody has experience, you know.	Says "Donald Trump is a guy who has called for privatization" of the Veterans Administration.	unrelated	unknown	
ai	151	2983	http://politifact.com/truth-o-meter/statements/2017/aug/21/matthew-rosendale/republican-senate-hopeful-claims-montana-sen-jon-t/	on Monday, August 21st, 2017	Pants on Fire!	For him to be doing this to this man and this family, I think Jon Tester has to have a big price to pay in Montana because I don't think people in Montana  the admiral is the kind of person that they respect and admire and they don't like seeing what's happened to him.	Says Sen. Jon Tester "believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government."	not-claim	not-claim	
ai	151	10795	http://politifact.com/truth-o-meter/statements/2012/jul/10/americans-prosperity/americans-prosperity-says-jon-tester-ranked-first-/	on Tuesday, July 10th, 2012	Half-True	For him to be doing this to this man and this family, I think Jon Tester has to have a big price to pay in Montana because I don't think people in Montana  the admiral is the kind of person that they respect and admire and they don't like seeing what's happened to him.	Montana Democratic Sen. Jon Tester is "the largest recipient of lobbyist money."	not-claim	not-claim	
ai	170	4023	http://politifact.com/truth-o-meter/statements/2016/oct/30/robby-mook/clinton-campaign-says-comey-letter-violates-justic/	on Sunday, October 30th, 2016	Mostly True	But what's interesting is we've learned through Catherine Herridge's reporting is that apparently the guy he gave the secret memos to, Dr. Richman at Columbia University  he had this special government employee status where he had  you know, he could look at secrets.	There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation "so close to an election."	unrelated	unknown	
ai	172	2168	http://politifact.com/truth-o-meter/statements/2018/apr/20/donald-trump/trump-falsely-says-comey-memos-disprove-collusion-/	on Friday, April 20th, 2018	Pants on Fire!	And also, apparently, the memos were leaked to a wider group of people or at least two, maybe three, including former U.S. attorney Patrick Fitzgerald.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	unrelated	unknown	
ai	172	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	And also, apparently, the memos were leaked to a wider group of people or at least two, maybe three, including former U.S. attorney Patrick Fitzgerald.	Says former FBI Director James Comey admitted to leaking classified information.	repeated	repeated	
ni	172	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	And also, apparently, the memos were leaked to a wider group of people or at least two, maybe three, including former U.S. attorney Patrick Fitzgerald.	Says former FBI Director James Comey admitted to leaking classified information.	agree	FALSE	
ai	173	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	Your opinion on what Mr. Comey is doing on his book tour and the fact that he had a special friend at Columbia University with an FBI badge.	Says former FBI Director James Comey admitted to leaking classified information.	not-claim	not-claim	
ai	173	4023	http://politifact.com/truth-o-meter/statements/2016/oct/30/robby-mook/clinton-campaign-says-comey-letter-violates-justic/	on Sunday, October 30th, 2016	Mostly True	Your opinion on what Mr. Comey is doing on his book tour and the fact that he had a special friend at Columbia University with an FBI badge.	There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation "so close to an election."	not-claim	not-claim	
ai	173	2779	http://politifact.com/truth-o-meter/statements/2017/oct/20/john-kelly/fact-checking-john-kelly-frederica-wilsons-2015-sp/	on Friday, October 20th, 2017	FALSE	Your opinion on what Mr. Comey is doing on his book tour and the fact that he had a special friend at Columbia University with an FBI badge.	At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson "stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money  the $20 million  to build the building. And she sat down."	not-claim	not-claim	
ai	174	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	Look, Comey is a leaker and he's a liar and not only on this stuff.	Says former FBI Director James Comey admitted to leaking classified information.	repeated	repeated	
ai	174	3266	http://politifact.com/punditfact/statements/2017/may/26/patriotcriercom/conspiracy-theory-comey-hid-seth-richs-ties-wikile/	on Friday, May 26th, 2017	Pants on Fire!	Look, Comey is a leaker and he's a liar and not only on this stuff.	(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source  covered it up for Hillary (Clinton).	repeated	repeated	
ni	174	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	Look, Comey is a leaker and he's a liar and not only on this stuff.	Says former FBI Director James Comey admitted to leaking classified information.	agree	FALSE	
ni	174	3266	http://politifact.com/punditfact/statements/2017/may/26/patriotcriercom/conspiracy-theory-comey-hid-seth-richs-ties-wikile/	on Friday, May 26th, 2017	Pants on Fire!	Look, Comey is a leaker and he's a liar and not only on this stuff.	(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source  covered it up for Hillary (Clinton).	agree	unknown	
ni	175	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	He's been leaking for years.	Says former FBI Director James Comey admitted to leaking classified information.	discuss	unknown	
ai	177	4550	http://politifact.com/truth-o-meter/statements/2016/aug/01/hillary-clinton/hillary-clintons-wrong-claim-fbi-director-comey-ca/	on Monday, August 1st, 2016	Pants on Fire!	He even lied about that because he never said that in Congress.	Says, regarding the presence of classified information in her email, FBI Director James "Comey said my answers were truthful, and what I've said is consistent with what I have told the American people."	unrelated	unknown	
ni	178	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	He said he gave it to a friend and he gave it to a friend to leak classified information.	Says former FBI Director James Comey admitted to leaking classified information.	agree	FALSE	
ai	182	2557	http://politifact.com/california/statements/2018/jan/02/donald-trump/trumps-false-claim-dianne-feinstein-said-there-no-/	on Tuesday, January 2nd, 2018	FALSE	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	repeated	repeated	
ai	182	3312	http://politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trumps-mostly-false-claim-clapper-said-no-collusio/	on Friday, May 12th, 2017	Mostly False	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	repeated	repeated	
ai	182	1766	http://politifact.com/punditfact/statements/2018/aug/06/americanjournalreviewcom/article-wrong-clapper-said-obama-behind-trump-russ/	on Monday, August 6th, 2018	FALSE	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)	unrelated	unknown	
ai	182	889	http://politifact.com/truth-o-meter/statements/2019/mar/14/kevin-downing/pants-fire-claim-two-courts-backed-trumps-claim-no/	on Thursday, March 14th, 2019	Pants on Fire!	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."	repeated	repeated	
ai	182	3172	http://politifact.com/truth-o-meter/statements/2017/jun/26/donald-trump/trump-wrongly-calls-muellers-special-counsel-clint/	on Monday, June 26th, 2017	Mostly False	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	I can say that the people that have been hired (for the independentRussia investigation)are all Hillary Clinton supporters, some of them worked for Hillary Clinton.	unrelated	unknown	
ai	182	2168	http://politifact.com/truth-o-meter/statements/2018/apr/20/donald-trump/trump-falsely-says-comey-memos-disprove-collusion-/	on Friday, April 20th, 2018	Pants on Fire!	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	repeated	repeated	
ai	182	1853	http://politifact.com/truth-o-meter/statements/2018/jul/16/vladimir-putin/vladimir-putin-falsely-claims-russia-never-interfe/	on Monday, July 16th, 2018	Pants on Fire!	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	The Russian state has never interfered ... into internal American affairs including election process.	discuss	unknown	
ni	182	2557	http://politifact.com/california/statements/2018/jan/02/donald-trump/trumps-false-claim-dianne-feinstein-said-there-no-/	on Tuesday, January 2nd, 2018	FALSE	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	agree	FALSE	
ni	182	3312	http://politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trumps-mostly-false-claim-clapper-said-no-collusio/	on Friday, May 12th, 2017	Mostly False	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	agree	FALSE	
ni	182	889	http://politifact.com/truth-o-meter/statements/2019/mar/14/kevin-downing/pants-fire-claim-two-courts-backed-trumps-claim-no/	on Thursday, March 14th, 2019	Pants on Fire!	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."	agree	FALSE	
ni	182	2168	http://politifact.com/truth-o-meter/statements/2018/apr/20/donald-trump/trump-falsely-says-comey-memos-disprove-collusion-/	on Friday, April 20th, 2018	Pants on Fire!	So the special counsel  and by the way, and Intelligence Committee and everybody else has found no collusion.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	agree	FALSE	
ni	183	3312	http://politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trumps-mostly-false-claim-clapper-said-no-collusio/	on Friday, May 12th, 2017	Mostly False	There's no collusion with me and the Russians.	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	discuss	unknown	
ni	183	2557	http://politifact.com/california/statements/2018/jan/02/donald-trump/trumps-false-claim-dianne-feinstein-said-there-no-/	on Tuesday, January 2nd, 2018	FALSE	There's no collusion with me and the Russians.	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	discuss	unknown	
ni	183	2168	http://politifact.com/truth-o-meter/statements/2018/apr/20/donald-trump/trump-falsely-says-comey-memos-disprove-collusion-/	on Friday, April 20th, 2018	Pants on Fire!	There's no collusion with me and the Russians.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	agree	unknown	
	183	1853	http://politifact.com/truth-o-meter/statements/2018/jul/16/vladimir-putin/vladimir-putin-falsely-claims-russia-never-interfe/	on Monday, July 16th, 2018	Pants on Fire!	There's no collusion with me and the Russians.	The Russian state has never interfered ... into internal American affairs including election process.	agree	FALSE	
ni	184	2385	http://politifact.com/truth-o-meter/statements/2018/feb/20/donald-trump/has-donald-trump-been-much-tougher-russia-barack-o/	on Tuesday, February 20th, 2018	Mostly False	Nobody's been tougher to Russia	I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!	discuss	unknown	
ai	189	2332	http://politifact.com/punditfact/statements/2018/mar/08/noah-smith/has-automation-driven-job-losses-steel-industry/	on Thursday, March 8th, 2018	TRUE	Between the military and the oil and all of the other things that I've done  the aluminum tax.	Since 1990, production of metals in the U.S. has held roughly constant, but the number of people employed in the industry has fallen steadily.	not-claim	not-claim	
ai	189	2318	http://politifact.com/truth-o-meter/statements/2018/mar/13/donald-trump/donald-trump-right-aluminum-steel-industries-have-/	on Tuesday, March 13th, 2018	Mostly True	Between the military and the oil and all of the other things that I've done  the aluminum tax.	Says the U.S. steel and aluminum industry is "a fraction of what it once was."	not-claim	not-claim	
ai	190	2324	http://politifact.com/truth-o-meter/statements/2018/mar/09/donald-trump/how-vital-our-national-security-are-steel-aluminum/	on Friday, March 9th, 2018	Half-True	They send us a lot of aluminum and I put tariffs on aluminum coming in.	American aluminum and steel "are vital to our national security. ... They are the bedrock of our defense industrial base."	unrelated	unknown	
ai	190	2318	http://politifact.com/truth-o-meter/statements/2018/mar/13/donald-trump/donald-trump-right-aluminum-steel-industries-have-/	on Tuesday, March 13th, 2018	Mostly True	They send us a lot of aluminum and I put tariffs on aluminum coming in.	Says the U.S. steel and aluminum industry is "a fraction of what it once was."	unrelated	unknown	
ai	190	1127	http://politifact.com/truth-o-meter/statements/2019/jan/15/mark-warner/trump-wants-lift-sanctions-related-russian-oligarc/	on Tuesday, January 15th, 2019	Half-True	They send us a lot of aluminum and I put tariffs on aluminum coming in.	Says the Trump administration has "a scheme to try to take (Oleg Deripaskas) ownership level down from 70 percent to roughly 40, 45" so that the Russian company is no longer subject to sanctions.	unrelated	unknown	
ni	192	2385	http://politifact.com/truth-o-meter/statements/2018/feb/20/donald-trump/has-donald-trump-been-much-tougher-russia-barack-o/	on Tuesday, February 20th, 2018	Mostly False	Nobody's been tougher.	I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!	not-claim	not-claim	Needs context
ni	194	2557	http://politifact.com/california/statements/2018/jan/02/donald-trump/trumps-false-claim-dianne-feinstein-said-there-no-/	on Tuesday, January 2nd, 2018	FALSE	So there's no collusion whatsoever.	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	discuss	unknown	
ni	194	3312	http://politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trumps-mostly-false-claim-clapper-said-no-collusio/	on Friday, May 12th, 2017	Mostly False	So there's no collusion whatsoever.	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	discuss	unknown	
ni	194	2168	http://politifact.com/truth-o-meter/statements/2018/apr/20/donald-trump/trump-falsely-says-comey-memos-disprove-collusion-/	on Friday, April 20th, 2018	Pants on Fire!	So there's no collusion whatsoever.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	agree	unknown	
ai	196	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	He leaked classified information in order to try and get a special counsel	Says former FBI Director James Comey admitted to leaking classified information.	repeated	repeated	
ai	196	3664	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trumps-flip-flop-leaks-and-release-secret-informat/	on Thursday, February 16th, 2017	Full Flop	He leaked classified information in order to try and get a special counsel	On leaks and the release of secret information.	unrelated	unknown	
ai	196	819	http://politifact.com/facebook-fact-checks/statements/2019/apr/02/viral-image/no-mueller-report-wasnt-leaked/	on Tuesday, April 2nd, 2019	Pants on Fire!	He leaked classified information in order to try and get a special counsel	The Mueller report was leaked.	unrelated	unknown	
ai	196	2752	http://politifact.com/truth-o-meter/statements/2017/oct/30/blog-posting/fake-news-blog-claims-jeff-flake-leaks-indictments/	on Monday, October 30th, 2017	Pants on Fire!	He leaked classified information in order to try and get a special counsel	Jeff Flakes office leaks names of those charged in Muellers Russian probe.	unrelated	unknown	
ni	196	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	He leaked classified information in order to try and get a special counsel	Says former FBI Director James Comey admitted to leaking classified information.	discuss	unknown	
ai	200	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	And he also leaked the memos which are classified.	Says former FBI Director James Comey admitted to leaking classified information.	repeated	repeated	
ai	200	3664	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trumps-flip-flop-leaks-and-release-secret-informat/	on Thursday, February 16th, 2017	Full Flop	And he also leaked the memos which are classified.	On leaks and the release of secret information.	unrelated	unknown	
ni	200	3223	http://politifact.com/north-carolina/statements/2017/jun/09/north-carolina-republican-party/james-comey-hearings-did-former-fbi-director-admit/	on Friday, June 9th, 2017	FALSE	And he also leaked the memos which are classified.	Says former FBI Director James Comey admitted to leaking classified information.	discuss	unknown	
ni	205	4878	http://politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/hillary-clinton-says-donald-trump-cited-miss-unive/	on Friday, June 3rd, 2016	Half-True	For instance, I went to Russia for a day or so  a day or two because I own the Miss Universe pageant.	Says Donald Trump "says he has foreign policy experience because he ran the Miss Universe pageant in Russia."	agree	unknown	
ai	215	16320	http://politifact.com/truth-o-meter/statements/2008/feb/27/hillary-clinton/shes-often-first-but-is-that-a-bad-thing/	on Wednesday, February 27th, 2008	TRUE	So he said  and you know, the funny thing, he does these memos and then fake news CNN who's a total fake  you know, they give Hillary Clinton the questions to the debate and nobody  can you imagine, by the way, if you gave me the questions to a debate?	Could I just point out that ... I seem to get the first question all the time?	unrelated	unknown	
ai	215	3680	http://politifact.com/truth-o-meter/statements/2017/feb/12/donald-trump/donald-trump-wrongly-says-cnn-cut-bernie-sanders-c/	on Sunday, February 12th, 2017	FALSE	So he said  and you know, the funny thing, he does these memos and then fake news CNN who's a total fake  you know, they give Hillary Clinton the questions to the debate and nobody  can you imagine, by the way, if you gave me the questions to a debate?	While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!	unrelated	unknown	
ai	215	4434	http://politifact.com/truth-o-meter/statements/2016/aug/23/donald-trump/donald-trump-fundraising-email-takes-cnn-anchors-c/	on Tuesday, August 23rd, 2016	Mostly False	So he said  and you know, the funny thing, he does these memos and then fake news CNN who's a total fake  you know, they give Hillary Clinton the questions to the debate and nobody  can you imagine, by the way, if you gave me the questions to a debate?	Says a CNN anchor said that Hillary Clinton has gotten "a free ride so far from the media. We're the biggest ones supporting her campaign."	discuss	unknown	
