line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
88	768	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	Says President Donald Trump "cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups."				agree	disagree	disagree	disagree	unknown	unknown	unknown	unknown
88	288	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.				disagree	disagree	disagree	disagree	unknown	unknown	unknown	unknown
88	2683	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	BREAKING Rosa Parks Granddaughter SLAMS Racist Democrats, Endorses Trump				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
88	231	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				disagree	unrelated	disagree	disagree	unknown	unknown	unknown	unknown
88	1947	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	I have always condemned  any of these white supremacists or bigots or anything like that.	speaker			unrelated	unrelated	agree	unrelated	unknown	unknown	FALSE	unknown
88	835	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	Says Fred Trump was arrested for "participating in KKK riot" in 1927.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
88	2986	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	Says there is proof Democrats hired actors to plan violence in Charlottesville.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
99	2990	So here's what I said, really fast, here's what I said on Saturday "We're closely following the terrible events unfolding in Charlottesville, Virginia"  this is me speaking.	White nationalist protesters in Charlottesville "had a permit. The other group didnt have a permit."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
99	2986	So here's what I said, really fast, here's what I said on Saturday "We're closely following the terrible events unfolding in Charlottesville, Virginia"  this is me speaking.	Says there is proof Democrats hired actors to plan violence in Charlottesville.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
99	231	So here's what I said, really fast, here's what I said on Saturday "We're closely following the terrible events unfolding in Charlottesville, Virginia"  this is me speaking.	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
100	231	We condemn in the strongest, possible terms this egregious display of hatred, bigotry and violence."	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				disagree	unrelated	disagree	disagree	unknown	unknown	TRUE	unknown
100	2978	We condemn in the strongest, possible terms this egregious display of hatred, bigotry and violence."	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
103	231	So I'm condemning the strongest, possible terms, "egregious display," "hatred, bigotry and violence."	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				disagree	unrelated	disagree	disagree	unknown	unknown	TRUE	unknown
103	2683	So I'm condemning the strongest, possible terms, "egregious display," "hatred, bigotry and violence."	BREAKING Rosa Parks Granddaughter SLAMS Racist Democrats, Endorses Trump				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
103	2978	So I'm condemning the strongest, possible terms, "egregious display," "hatred, bigotry and violence."	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.			unrelated	discuss		unknown	unrelated	unknown			unknown
116	3982	The only time they show the crowds is when there's a disrupter or an anarchist in the room.	The media "never show crowds."	not-sure, context needed?			unrelated	unrelated	agree	unrelated	unknown	unknown	FALSE	unknown
116	6196	The only time they show the crowds is when there's a disrupter or an anarchist in the room.	Despite what Donald Trump claims, "there werent 15,000 people who turned out in Phoenix" to see Trump speak.	not-sure, context needed?			unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
116	3954	The only time they show the crowds is when there's a disrupter or an anarchist in the room.	Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. It's true. I get far bigger crowds.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
116	2976	The only time they show the crowds is when there's a disrupter or an anarchist in the room.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
121	2683	I'm talking about hatred, bigotry and violence.	BREAKING Rosa Parks Granddaughter SLAMS Racist Democrats, Endorses Trump	This claim is not important			not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
121	231	I'm talking about hatred, bigotry and violence.	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				not-claim	not-claim	disagree	not-claim	not-claim	not-claim	unknown	not-claim
121	2978	I'm talking about hatred, bigotry and violence.	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
145	3550	You assume it's honest, because it's like the failing New York Times, which is like so bad.	Says "the New York Times wrote about" Barack Obama wiretapping Donald Trump during the election.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
148	3067	Or the Washington Post, which call a lobbying tool for Amazon, OK, that's a lobbying tool for Amazon.	Amazon has a "notax monopoly."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
148	2117	Or the Washington Post, which call a lobbying tool for Amazon, OK, that's a lobbying tool for Amazon.	You know what Amazon paid in federal income taxes last year? Zero.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
148	1205	Or the Washington Post, which call a lobbying tool for Amazon, OK, that's a lobbying tool for Amazon.	There is nothing that we have done on Amazon that we have not done with hundreds of other projects.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
149	2047	Or CNN, which is so bad and so pathetic, and their ratings are going down.	CNN to permanently close its doors as ratings plunge 30 percent.				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
149	3145	Or CNN, which is so bad and so pathetic, and their ratings are going down.	CNNs ratings are "way down."				agree	agree	agree	agree	FALSE	unknown	FALSE	FALSE
149	1600	Or CNN, which is so bad and so pathetic, and their ratings are going down.	Says CNNs Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.				discuss	unrelated	agree	discuss	unknown	unknown	unknown	unknown
176	2976	He's supposed to be with the few people outside.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.				not-claim	not-claim	agree	not-claim	not-claim	not-claim	FALSE	not-claim
177	2976	How about  how about all week they're talking about the massive crowds that are going to be outside.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.				disagree	unrelated	discuss	discuss	TRUE	unknown	unknown	unknown
177	3982	How about  how about all week they're talking about the massive crowds that are going to be outside.	The media "never show crowds."	not-sure?			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
179	2976	Well, it's hot out.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	not-important	sound like opinion		unrelated	not-claim	agree	unrelated	unknown	not-claim	unknown	unknown
181	2976	I think it's too warm.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	not-important	sound like opinion		unrelated	not-claim	agree	unrelated	unknown	not-claim	unknown	unknown
186	2986	So I said, based on the events that took place over the last weekend in Charlottesville, I'd like to provide the nation with an update.	Says there is proof Democrats hired actors to plan violence in Charlottesville.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
186	2990	So I said, based on the events that took place over the last weekend in Charlottesville, I'd like to provide the nation with an update.	White nationalist protesters in Charlottesville "had a permit. The other group didnt have a permit."				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
186	2901	So I said, based on the events that took place over the last weekend in Charlottesville, I'd like to provide the nation with an update.	Democrats "setup"and "manipulated" the political violence in Charlottesville				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
189	15533	To anyone who acted criminally in this weekend's racist violence, you will be held fully accountable, justice will be delivered.	Under the Hate Crimes bill, "any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
189	2683	To anyone who acted criminally in this weekend's racist violence, you will be held fully accountable, justice will be delivered.	BREAKING Rosa Parks Granddaughter SLAMS Racist Democrats, Endorses Trump				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
198	7900	Then I said, racism is evil.	More whites believe in ghosts than believe in racism.	We can add things here!			unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
198	607	Then I said, racism is evil.	Donald Trump has been in public eye for over 30 years and he was never once accused of being racist by anyone until he decided to run against the Democrats.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
198	4605	Then I said, racism is evil.	Says Hillary Clinton and Ralph Northam "label police as racists."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
203	15069	Now they only choose, you know, like a half a sentence here or there and then they just go on this long rampage, or they put on these real lightweights all around a table that nobody ever heard of, and they all say what a bad guy I am.	We researched to find out if anybody on Fox News had ever said you're going to jail if you don't buy health insurance. Nobody's ever said it.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
203	4358	Now they only choose, you know, like a half a sentence here or there and then they just go on this long rampage, or they put on these real lightweights all around a table that nobody ever heard of, and they all say what a bad guy I am.	Says Donald Trump is "on record extensively supporting (the) intervention in Libya."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
203	5364	Now they only choose, you know, like a half a sentence here or there and then they just go on this long rampage, or they put on these real lightweights all around a table that nobody ever heard of, and they all say what a bad guy I am.	Says Ted Cruz"said I was in favor in Libya. I never discussed that subject."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
204	2450	But, I mean do you ever see anything  and then you wonder why CNN is doing relatively poorly in the ratings.	45.6 million people watched (the State of the Union), the highest number in history. @FoxNews beat every other Network, for the first time ever, with 11.7 million people tuning in.				not-claim	unrelated	unrelated	unrelated	not-claim	unknown	unknown	unknown
205	3104	Because they're putting like seven people all negative on Trump.	Says his job approval poll numbers are "not bad" relative to other presidents at this point in his presidency.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
210	231	And those who cause violence in its name are criminals and thugs, including the KKK, neoNazis, white supremacists and other hate groups that are repugnant to everything we hold true as Americans.	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				discuss	unrelated	disagree	unrelated	unknown	unknown	unknown	unknown
210	5298	And those who cause violence in its name are criminals and thugs, including the KKK, neoNazis, white supremacists and other hate groups that are repugnant to everything we hold true as Americans.	Trump refuses to denounce the KKK.				disagree	disagree	disagree	disagree	unknown	unknown	TRUE	unknown
212	13260	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	President Obama has "stopped using the phrase 'war on terror.' "				agree	agree	agree	agree	TRUE	TRUE	TRUE	TRUE
212	2992	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
212	4826	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
212	16006	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	For four days in Denver, the Democrats were afraid to use the words 'Islamic terrorism.'				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
212	4742	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	President Barack Obama attended "an Islamic madrassa."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
212	3709	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	Terrorism and terrorist attacks in the United States and Europe have "gotten to a point where it's not even being reported."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
212	5671	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	Says President Barack Obama "will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism."				agree	agree	agree	agree	TRUE	TRUE	TRUE	TRUE
212	7247	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night "to minimize terrorist casualties."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
212	4671	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	Says President Barack Obama is "absolutely" a Muslim.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
212	6812	And you know I mention that, but to the best of my knowledge when there was a big problem, Barack Obama never said it took place because of radical Islamic terrorists, he never said that, right. He doesn't have to say...	In President Barack Obamas 2015 State of the Union address, "the words alQaida were never used, the first time those words have not been used in a State of the Union address since February 2001."				agree	unrelated	agree	agree	unknown	unknown	TRUE	unknown
216	5342	Because the media is totally dishonest, and they have a double standard.	Says "the New York Times can write a story that they know is false" yet "they can't basically be sued."				agree	agree	discuss	agree	FALSE	FALSE	unknown	FALSE
216	4000	Because the media is totally dishonest, and they have a double standard.	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
216	4511	Because the media is totally dishonest, and they have a double standard.	Says the media distortedwhat happened with a baby at his rally.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
216	1662	Because the media is totally dishonest, and they have a double standard.	Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Dont know why Washington politicians dont change libel laws?				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
216	3767	Because the media is totally dishonest, and they have a double standard.	The media ... sort of made it sound like I had a feud with the intelligence community.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
216	3663	Because the media is totally dishonest, and they have a double standard.	The media has "a lower approval rate than Congress."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
216	2524	Because the media is totally dishonest, and they have a double standard.	The White House staff risks violating federal ethics rules if they participatein Donald Trumps "fake news awards."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
221	231	Those who spread violence in the name of bigotry strike the very core of America.	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.				not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	unknown	not-claim
221	2683	Those who spread violence in the name of bigotry strike the very core of America.	BREAKING Rosa Parks Granddaughter SLAMS Racist Democrats, Endorses Trump				not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	unknown	not-claim
221	2978	Those who spread violence in the name of bigotry strike the very core of America.	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.				not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	unknown	not-claim
233	5298	I hit him with neoNazi.	Trump refuses to denounce the KKK.	needs context			not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
233	5336	I hit him with neoNazi.	I don't know anything about David Duke.	needs context			not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
233	5605	I hit him with neoNazi.	Our larger domestic threat is from racial supremacist groups.	needs context			not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
246	3004	But they also said that he must be a racist because he never mentioned the driver of the car, who is a terrible person, drove the car and he killed Heather, and it's a terrible thing.	Virginia police arrest wrong person to cover for Antifa member who ran over protesters.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
246	3003	But they also said that he must be a racist because he never mentioned the driver of the car, who is a terrible person, drove the car and he killed Heather, and it's a terrible thing.	Charlottesville car attacker is antiTrump Antifa supporter.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
254	14216	I think if we continue to create jobs like I've done  over one million since I've been in office...	If you want to see the jobs that I've saved and created in this storm he helped create, go anywhere in Ohio.				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
256	15832	I think if we continue to create jobs at levels that I'm creating jobs, I think that's going to have a tremendously positive impact on race relations.	You and I know that in the history of mankind and womankind, government  federal, state, local, or otherwise  has never created one job.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
259	4215	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.				agree	unrelated	discuss	discuss	unknown	unknown	unknown	unknown
259	2994	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	Wages "havent gone up for a long time."				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
259	5474	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
259	4945	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	Says "Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
259	4541	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	We rank 38th in wages. ... (Rick Scott) goes out around the country and advertises that to other states.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
259	2328	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.				agree	agree	agree	agree	FALSE	unknown	unknown	unknown
259	4573	And the other thing  very important  I believe wages will start going up, because we now have the lowest unemployment rate we've had in 17 years, so you're going to see wages go up, right?	On whether the federal government should set a minimum wage	example of bad vclaim			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
260	2994	They haven't gone up for a long time.	Wages "havent gone up for a long time."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
260	8218	They haven't gone up for a long time.	Most folks wages havent gone up in over a decade.	Add 2328?			agree	agree	disagree	agree	FALSE	FALSE	unknown	FALSE
261	2994	I believe wages now, because the economy is doing so well with respect to employment and unemployment, I believe wages will start to go up, and I think that will have a tremendously positive impact on race relations.	Wages "havent gone up for a long time."				agree	agree	discuss	agree	FALSE	unknown	unknown	unknown
261	949	I believe wages now, because the economy is doing so well with respect to employment and unemployment, I believe wages will start to go up, and I think that will have a tremendously positive impact on race relations.	Raising the federal minimum wage to $15 "would give more than 40 million lowwage workers a raise, more than 25 percent of the U.S. workforce."		date		unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
308	5453	CNN does not want its falling viewership to watch what I'm saying tonight, I can tell you.	Says CNN reported Ben Carson was "taking a break from campaigning" and the Cruz campaign "forwarded that news to our volunteers."	not sure			not-claim	unrelated	unrelated	unrelated	not-claim	unknown	unknown	unknown
308	3145	CNN does not want its falling viewership to watch what I'm saying tonight, I can tell you.	CNNs ratings are "way down."	not sure			not-claim	unrelated	agree	not-claim	not-claim	unknown	unknown	unknown
308	4434	CNN does not want its falling viewership to watch what I'm saying tonight, I can tell you.	Says a CNN anchor said that Hillary Clinton has gotten "a free ride so far from the media. We're the biggest ones supporting her campaign."	not sure			not-claim	unrelated	unrelated	unrelated	not-claim	unknown	unknown	unknown
313	5276	If I don't have social media, I probably would not be standing.	Says the man who rushed the stage at him in Dayton, Ohio, "had chatter about ISIS, or with ISIS" in his social media posts.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
313	4000	If I don't have social media, I probably would not be standing.	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
314	3063	And do you ever notice, when I go on and I'll put, like, out a tweet or a couple of tweets, "He's in a Twitterstorm again!"	Twitter reaches only 15 percent of the population.				unrelated	not-claim	unrelated	unrelated	unknown	not-claim	unknown	unknown
323	1684	I mean, the New York Times has written some stories.	Says "96 percent of (Google News) results on Trump News are from National LeftWing Media."	not important			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
323	3943	I mean, the New York Times has written some stories.	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.	not important			unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
323	3982	I mean, the New York Times has written some stories.	The media "never show crowds."	not important			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
325	3943	The New York Times essentially apologized after I won the election, because their coverage was so bad, and it was so wrong, and they were losing so many subscribers that they practically apologized.	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
325	3944	The New York Times essentially apologized after I won the election, because their coverage was so bad, and it was so wrong, and they were losing so many subscribers that they practically apologized.	The @nytimes states today that DJT believes more countries should acquire nuclear weapons. How dishonest are they. I never said this!				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
330	5240	And for about two weeks I got good coverage.	Says Donald"Trump got, you know, $1.8 billion worth of free media. I got, like, none."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
336	15069	I must tell you, Fox has treated me fairly.	We researched to find out if anybody on Fox News had ever said you're going to jail if you don't buy health insurance. Nobody's ever said it.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
337	15504	Fox treated me fairly.	When White House communications director Anita Dunn said that Mao Tsetung was "one of her favorite philosophers, only Fox News picked that up."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
349	138	And "Fox and Friends in the Morning" is the best show, and it's the absolute, most honest show, and it's the show I watch.	Says Trump told Fox News "the Democrats can subpoena me and my administration for the next 10, 15, 20 years and we will never capitulate. They need to face the fact that I am in charge, this is my country and I will do as I please, they have no control over me. The people support me and will always support me."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
359	4944	Not only does the media give a platform to hate groups, but the media turns a blind eye to the gang violence on our streets, the failures of our public school, the destruction of our wealth at the hands of the terrible, terrible trade deals made by politicians that should've never been allowed to be politicians.	Trade deals are negotiated in "secret" and, unlike corporate interests,politicians never invite "the leaders of the AFLCIO or steelworkers or the mine workers to come in and sit down in these meetings."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
359	2524	Not only does the media give a platform to hate groups, but the media turns a blind eye to the gang violence on our streets, the failures of our public school, the destruction of our wealth at the hands of the terrible, terrible trade deals made by politicians that should've never been allowed to be politicians.	The White House staff risks violating federal ethics rules if they participatein Donald Trumps "fake news awards."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
360	6890	And the unaccountable hostility against our incredible police, who work so hard at such a dangerous job.	Says President Barack Obama has said "that everybody should hate the police."				unrelated	unrelated	agree	unrelated	unknown	unknown	FALSE	unknown
360	2502	And the unaccountable hostility against our incredible police, who work so hard at such a dangerous job.	Says Donald Trump's use of the term "fake news" to undermine journalism "seems (to have) inspired dictators and authoritarians."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
360	4605	And the unaccountable hostility against our incredible police, who work so hard at such a dangerous job.	Says Hillary Clinton and Ralph Northam "label police as racists."				unrelated	unrelated	agree	unrelated	unknown	unknown	FALSE	unknown
