line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
53	2165	Chairman Kim has told me that North Korea is already destroying a major missile engine testing site.	SaysNorth Korea has "agreed to denuclearization."				agree	discuss	unrelated	unrelated	FALSE	unknown	unknown	unknown
53	5732	Chairman Kim has told me that North Korea is already destroying a major missile engine testing site.	North Korea"has over twodozennuclear warheads."				agree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
55	2165	That's a big thing  for the missiles that they were testing, the site is going to be destroyed very soon.	SaysNorth Korea has "agreed to denuclearization."				agree	discuss	unrelated	unrelated	FALSE	unknown	unknown	unknown
55	3391	That's a big thing  for the missiles that they were testing, the site is going to be destroyed very soon.	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				disagree	unrelated	disagree	disagree	unknown	unknown	unknown	unknown
95	2311	First, the man you met today, Kim Jong Un, as you know, has killed family members, has starved his own people, is responsible for the death of Otto Warmbier.	SaySean Hannity said in 2008 that Obamas willingness to meet with North Korea was "disturbing"while Trumps "willingness to meet with North Korea is a huge foreign policy win."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
126	5568	We have, right now, 32,000 soldiers in South Korea, and I'd like to be able to bring them back home.	We get practically nothing compared to the cost of keeping U.S. military forces in South Korea.				unrelated	discuss	discuss	discuss	unknown	unknown	unknown	unknown
147	2165	We talk about the guarantees, and we talk about "unwavering commitment to the complete denuclearization of the Korean Peninsula."	SaysNorth Korea has "agreed to denuclearization."				discuss	agree	agree	agree	unknown	FALSE	FALSE	FALSE
171	1987	What did Kim Jong Un say to you to give you the confidence that, for once in the history of North Korea, they are not cheating the system, and gaming the world, and gaming the people who will have to go in and make sure that they're actually giving up their nuclear arsenal?	North Korea's history of international negotiations shows "they'll take the concessions, they'll keep them in their pocket and then they won't deliver."				disagree	agree	agree	agree	unknown	unknown	TRUE	unknown
171	3391	What did Kim Jong Un say to you to give you the confidence that, for once in the history of North Korea, they are not cheating the system, and gaming the world, and gaming the people who will have to go in and make sure that they're actually giving up their nuclear arsenal?	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				disagree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
171	2165	What did Kim Jong Un say to you to give you the confidence that, for once in the history of North Korea, they are not cheating the system, and gaming the world, and gaming the people who will have to go in and make sure that they're actually giving up their nuclear arsenal?	SaysNorth Korea has "agreed to denuclearization."				agree	agree	discuss	agree	unknown	FALSE	unknown	unknown
171	1967	What did Kim Jong Un say to you to give you the confidence that, for once in the history of North Korea, they are not cheating the system, and gaming the world, and gaming the people who will have to go in and make sure that they're actually giving up their nuclear arsenal?	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
174	1967	He actually mentioned the fact that they proceeded down a path in the past, and, ultimately, as you know, nothing got done.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
175	2670	In one case, they took billions of dollars  during the Clinton regime  took billions of dollars and nothing happened.	FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
175	1967	In one case, they took billions of dollars  during the Clinton regime  took billions of dollars and nothing happened.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
180	3408	I think he might want to do this as much or even more than me because they see a very bright future for North Korea.	With North Korea, "nobody has ever seen such a positive response on our behalf from China."				discuss	not-claim	discuss	discuss	unknown	not-claim	unknown	unknown
180	2165	I think he might want to do this as much or even more than me because they see a very bright future for North Korea.	SaysNorth Korea has "agreed to denuclearization."				unrelated	not-claim	agree	not-claim	unknown	not-claim	unknown	unknown
201	5732	Of course, the denuclearization  nuclear weapons and biological weapons and whatnot  is one problem in North Korea.	North Korea"has over twodozennuclear warheads."	opinion or not-claim?			unrelated	agree	agree	agree	unknown	unknown	unknown	unknown
209	4814	They want the remains of their fathers, and mothers, and all of the people that got caught into that really brutal war, which took place, to a large extent, in North Korea.	Says Donald Trump has said he loves war, "including with nukes."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
221	8821	The POWMIA issue clearly is a very important one for thousands of Americans.	There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.				agree	agree	agree	agree	TRUE	TRUE	TRUE	TRUE
236	2670	Billions of dollars were given, and you know, the following day the nuclear program continued.	FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
236	1967	Billions of dollars were given, and you know, the following day the nuclear program continued.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
339	2165	Well, you know, scientifically, I've been watching and reading a lot about this, and it does take a long time to pull off complete denuclearization.	SaysNorth Korea has "agreed to denuclearization."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
397	2165	You signed a document with Kim Jong Un.	SaysNorth Korea has "agreed to denuclearization."	not enough context	context		discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
400	3020	He said the following "Many Presidents previously have signed off on pieces of paper only to find that the North Koreans either didn't promise what we thought they had, or actually reneged on those promises."	Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.				discuss	discuss	agree	discuss	unknown	unknown	FALSE	unknown
415	6636	I was given this, I was given the Iran deal, and plenty of other problems.	If President Barack Obama strikes a nuclear deal with Iran, "the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time."				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
417	2038	And the Iran deal, I have to be honest, I did it because nuclear is always number one to me.	Senator Cryin Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama,  then Voted AGAINST it! Now he says I should not have terminated the deal				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
417	5215	And the Iran deal, I have to be honest, I did it because nuclear is always number one to me.	When those restrictions expire (in the Iran nuclear deal), Iran will have an industrialsize military nuclear capability ready to go.				agree	unrelated	discuss	not-claim	FALSE	unknown	unknown	unknown
436	13323	Yeah, we've done exercises for a long period of time, working with South Korea.	South Korea doesn't pay the United States for U.S. troops that protect their country.				unrelated	discuss	discuss	discuss	unknown	unknown	unknown	unknown
438	12973	And they're tremendously expensive.	Planned Parenthood "raked in more than $300 million in profits over the past four years."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
440	5568	And South Korea contributes, but not 100 percent, which is certainly a subject that we have to talk to them about also.	We get practically nothing compared to the cost of keeping U.S. military forces in South Korea.				agree	agree	disagree	agree	unknown	unknown	unknown	unknown
440	13323	And South Korea contributes, but not 100 percent, which is certainly a subject that we have to talk to them about also.	South Korea doesn't pay the United States for U.S. troops that protect their country.				agree	agree	disagree	agree	unknown	unknown	unknown	unknown
443	4631	We actually have a new deal with South Korea, in terms of the trade deal, but we have to talk to them.	Says Hillary Clinton "supported North American Free Trade Agreement), and she supported Chinas entrance into the World Trade Organization. She supported the jobkilling trade deal with South Korea. She supported the TransPacific Partnership."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
443	12327	We actually have a new deal with South Korea, in terms of the trade deal, but we have to talk to them.	Last year, Korea sold nearly half a million cars in our country. ... The United States, you know how much we sell to them? Six thousand. What kind of deal is that?				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
446	12973	We pay for a big majority of them.	Planned Parenthood "raked in more than $300 million in profits over the past four years."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
465	2165	But I noticed that some of the people were saying that the President has agreed to meet, he has given up so much.	SaysNorth Korea has "agreed to denuclearization."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
469	1961	But we haven't given up anything, other than  you're right, I agreed to meet.	Says Bill Nelson voted for "cuts to Medicare providers" and voted to weaken "Social Security protections" as a U.S. senator.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
473	1961	But only a person that dislikes Donald Trump would say that I've agreed to make a big commitment.	Says Bill Nelson voted for "cuts to Medicare providers" and voted to weaken "Social Security protections" as a U.S. senator.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
474	1961	Sure, I've agreed to take a period of time and come here and meet, and that's good.	Says Bill Nelson voted for "cuts to Medicare providers" and voted to weaken "Social Security protections" as a U.S. senator.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
477	2165	Secured commitment for complete denuclearization that's the big thing.	SaysNorth Korea has "agreed to denuclearization."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
488	470	At that time we had no relationship to Chairman Kim or to anybody else in North Korea.	The Obama administration was begging for a meeting with Kim Jong Un.				agree	agree	discuss	agree	FALSE	FALSE	unknown	FALSE
491	2165	Secured the halt of all missile and nuclear tests for  how long has it been?	SaysNorth Korea has "agreed to denuclearization."				agree	discuss	unrelated	discuss	FALSE	unknown	unknown	unknown
491	5402	Secured the halt of all missile and nuclear tests for  how long has it been?	North Koreas missiles are "not going to have a capability to reach the United States anytime real soon."				agree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
491	3391	Secured the halt of all missile and nuclear tests for  how long has it been?	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				discuss	unrelated	disagree	unrelated	unknown	unknown	FALSE	unknown
494	15732	For seven months, you haven't had a nuclear test you haven't had a nuclear explosion.	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
501	3391	They've blown up their missile area.	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
505	2165	But they secured a halt of all missiles and of all nuclear tests.	SaysNorth Korea has "agreed to denuclearization."				agree	discuss	agree	agree	FALSE	unknown	FALSE	FALSE
505	15732	But they secured a halt of all missiles and of all nuclear tests.	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
506	2165	They secured the closure of their single primary nuclear test site.	SaysNorth Korea has "agreed to denuclearization."				discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
517	2864	We maintained the ability to continue to apply sanctions.	North Korea is "the fifth or fourth most sanctioned nation."				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
518	2514	So we're applying sanctions.	Conservative groups have spent $5 million "against" Tammy Baldwin  five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
523	4522	So, Jennifer, when you look at all of those things that we got  and when we got our hostages back, I didn't pay $1.8 billion in cash like the hostages that came back from Iran, which was a disgraceful situation, what took place.	Says he saw videotape "of the people taking the money off the plane" to pay ransom to Iran for hostages.				disagree	agree	agree	agree	TRUE	unknown	unknown	unknown
523	4149	So, Jennifer, when you look at all of those things that we got  and when we got our hostages back, I didn't pay $1.8 billion in cash like the hostages that came back from Iran, which was a disgraceful situation, what took place.	Says Deborah Ross "supports the Iran nuclear deal and the ransom it paid for hostages."				unrelated	discuss	agree	unrelated	unknown	unknown	unknown	unknown
523	2110	So, Jennifer, when you look at all of those things that we got  and when we got our hostages back, I didn't pay $1.8 billion in cash like the hostages that came back from Iran, which was a disgraceful situation, what took place.	Says Bill Nelson "voted against requiring Iran to recognize Israel and release American hostages."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
523	224	So, Jennifer, when you look at all of those things that we got  and when we got our hostages back, I didn't pay $1.8 billion in cash like the hostages that came back from Iran, which was a disgraceful situation, what took place.	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
531	2165	It wasn't too long ago, though, that you said you defined the success of this meeting by North Korea giving up its nuclear weapons.	SaysNorth Korea has "agreed to denuclearization."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
532	1815	Well, that's what they're doing.	Says Deputy Attorney General Rod Rosenstein announced in February that "the Russia collusion investigation is over."				not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	not-claim
635	2306	Canada does have very big advantages over us in terms of trade deficits.	We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive).				agree	agree	agree	agree	unknown	unknown	FALSE	unknown
635	1544	Canada does have very big advantages over us in terms of trade deficits.	Since NAFTAs adoption, the United States racked up trade deficits totaling more than $2 trillion.				discuss	discuss	agree	discuss	unknown	unknown	TRUE	unknown
635	3915	Canada does have very big advantages over us in terms of trade deficits.	We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
635	14569	Canada does have very big advantages over us in terms of trade deficits.	Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
636	2306	We have a big trade deficit with Canada, I was reading, where, oh, it's actually a surplus.	We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive).				agree	agree	agree	agree	unknown	unknown	unknown	unknown
636	1544	We have a big trade deficit with Canada, I was reading, where, oh, it's actually a surplus.	Since NAFTAs adoption, the United States racked up trade deficits totaling more than $2 trillion.				discuss	discuss	agree	discuss	unknown	unknown	TRUE	unknown
636	1968	We have a big trade deficit with Canada, I was reading, where, oh, it's actually a surplus.	Canada charges the U.S. a 270% tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!				agree	agree	agree	agree	unknown	unknown	unknown	unknown
644	2945	They don't take our farm products  many of them.	Navy destroyer strikes a building in downtown Houston.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
645	1968	They charge what was 270 percent, but somebody told me the other day that a few months ago they raised it to 295 percent for dairy products.	Canada charges the U.S. a 270% tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!				agree	agree	agree	agree	unknown	unknown	TRUE	unknown
645	3295	They charge what was 270 percent, but somebody told me the other day that a few months ago they raised it to 295 percent for dairy products.	Farmers "are now dumping milk into the ditches" because of a trade dispute with Canada				unrelated	discuss	discuss	discuss	unknown	unknown	unknown	unknown
647	3295	And we are not able to trade.	Farmers "are now dumping milk into the ditches" because of a trade dispute with Canada				agree	agree	agree	agree	unknown	unknown	unknown	unknown
647	4944	And we are not able to trade.	Trade deals are negotiated in "secret" and, unlike corporate interests,politicians never invite "the leaders of the AFLCIO or steelworkers or the mine workers to come in and sit down in these meetings."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
647	4378	And we are not able to trade.	Tom Reed "has actually voted for every single trade deal that has ever come before him in any form."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
649	5187	They have tremendous tariffs.	Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
649	636	They have tremendous tariffs.	Chinas developing country status in the World Trade Organization"means they can tariff and embargo."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
649	4533	They have tremendous tariffs.	The TransPacific Partnership "knocks out 18,000 tariffs that other countries place on American products and goods."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
670	5738	Look, countries cannot continue to take advantage of us on trade.	The TransPacific Partnership "was designed for China to come in, as they always do, through the back door and totally take advantage of everyone."				not-claim	not-claim	agree	not-claim	not-claim	not-claim	FALSE	not-claim
670	2306	Look, countries cannot continue to take advantage of us on trade.	We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive).				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
672	6491	Over the last couple of years, and over the last many years  but over the last couple of years, this country has lost $800 billion on trade with other countries, the biggest one being China.	America has lost over 50,000 manufacturing factories on other trade deals.				discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
672	13974	Over the last couple of years, and over the last many years  but over the last couple of years, this country has lost $800 billion on trade with other countries, the biggest one being China.	More than 10 years of free trade "has brought a $2 billion per day trade deficit."		date?		unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
672	2257	Over the last couple of years, and over the last many years  but over the last couple of years, this country has lost $800 billion on trade with other countries, the biggest one being China.	Last year we lost $500 billion on trade with China.				agree	agree	agree	agree	FALSE	unknown	unknown	unknown
676	1904	They don't take a lot of what we have, and yet they send Mercedes into us, they send BMWs into us by the millions.	The European Union  they send us Mercedes, they send us  by the millions  the BMWs  cars by the millions.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
677	14253	It's very unfair, and it's very unfair to our workers.	According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals.		date		not-claim	discuss	agree	not-claim	not-claim	unknown	TRUE	not-claim
699	1871	But on NATO, we're paying 4.2 percent she's paying 1 percent of a much smaller GDP than we have.	Manycountries (in NATO) owe us a tremendous amount of money for many years back, where theyre delinquent, as far as Im concerned, because the United States has had to pay for them.				agree	unrelated	agree	agree	FALSE	unknown	unknown	unknown
699	1865	But on NATO, we're paying 4.2 percent she's paying 1 percent of a much smaller GDP than we have.	The United States was paying for anywhere from 70 to 90 percent of (NATO), depending on the way you calculate.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
699	15681	But on NATO, we're paying 4.2 percent she's paying 1 percent of a much smaller GDP than we have.	Job losses are so certain under this new capandtax plan that it includes a provision accommodating newly unemployed workers from the resulting driedup energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
699	5083	But on NATO, we're paying 4.2 percent she's paying 1 percent of a much smaller GDP than we have.	We spend about 75 percent of the entire cost of the military aspect of NATO.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
699	3540	But on NATO, we're paying 4.2 percent she's paying 1 percent of a much smaller GDP than we have.	Germany owes ... vast sums of money to NATO  the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
700	1865	We're paying 4.2 percent on a much larger  we're paying for  I mean, anyone can say  from 60 to 90 percent of NATO.	The United States was paying for anywhere from 70 to 90 percent of (NATO), depending on the way you calculate.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
700	4162	We're paying 4.2 percent on a much larger  we're paying for  I mean, anyone can say  from 60 to 90 percent of NATO.	Donald Trump says "that NATO is obsolete and that we need to get rid of NATO..."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
700	1871	We're paying 4.2 percent on a much larger  we're paying for  I mean, anyone can say  from 60 to 90 percent of NATO.	Manycountries (in NATO) owe us a tremendous amount of money for many years back, where theyre delinquent, as far as Im concerned, because the United States has had to pay for them.				unrelated	agree	agree	agree	unknown	unknown	unknown	unknown
700	5083	We're paying 4.2 percent on a much larger  we're paying for  I mean, anyone can say  from 60 to 90 percent of NATO.	We spend about 75 percent of the entire cost of the military aspect of NATO.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
777	10108	Because the Olympics  and President Moon will tell you this  the Olympics was not exactly doing great.	I went to the Olympics that was out of balance, and we got it on balance.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
805	3408	It's also a great thing for China because I can't imagine that China has, you know, is happy with somebody having nuclear weapons so close.	With North Korea, "nobody has ever seen such a positive response on our behalf from China."				agree	agree	agree	agree	unknown	unknown	unknown	unknown
852	13323	But South Korea, which obviously is right next door, and Japan, which essentially is next door, they're going to be helping them.	South Korea doesn't pay the United States for U.S. troops that protect their country.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
909	4764	We have a tremendous deficit in trade, commonly known as a trade deficit.	Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.				unrelated	discuss	agree	discuss	unknown	unknown	unknown	unknown
909	5506	We have a tremendous deficit in trade, commonly known as a trade deficit.	When they say Mexico can't pay for the wall, I say of course they can. We have a trade deficit with Mexico that's unbelievably big. ... It's billions and billions of dollars  far more than what we're talking about for the wall.				agree	discuss	agree	agree	unknown	unknown	unknown	unknown
909	4630	We have a tremendous deficit in trade, commonly known as a trade deficit.	Our trade deficit in goods reached nearly  $800 billion last year alone.	not sure	date		agree	agree	agree	agree	unknown	unknown	unknown	unknown
909	14569	We have a tremendous deficit in trade, commonly known as a trade deficit.	Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.				discuss	discuss	unrelated	discuss	unknown	unknown	unknown	unknown
909	2175	We have a tremendous deficit in trade, commonly known as a trade deficit.	The United States has a massive trade deficit with Japan. It's anywhere from $69 billion to a $100 billion a year.				agree	agree	unrelated	agree	unknown	unknown	unknown	unknown
909	2257	We have a tremendous deficit in trade, commonly known as a trade deficit.	Last year we lost $500 billion on trade with China.	not sure			agree	agree	agree	agree	unknown	unknown	unknown	unknown
909	2306	We have a tremendous deficit in trade, commonly known as a trade deficit.	We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive).				agree	agree	agree	agree	unknown	unknown	unknown	unknown
909	5752	We have a tremendous deficit in trade, commonly known as a trade deficit.	Were losing now over $500 billion a year in terms of imbalance with China.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
909	3370	We have a tremendous deficit in trade, commonly known as a trade deficit.	The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.				agree	agree	discuss	agree	unknown	unknown	unknown	unknown
909	13974	We have a tremendous deficit in trade, commonly known as a trade deficit.	More than 10 years of free trade "has brought a $2 billion per day trade deficit."		date		agree	agree	agree	agree	unknown	unknown	unknown	unknown
909	1544	We have a tremendous deficit in trade, commonly known as a trade deficit.	Since NAFTAs adoption, the United States racked up trade deficits totaling more than $2 trillion.				agree	agree	unrelated	agree	unknown	unknown	unknown	unknown
910	5187	We have a tremendous deficit in trade with China, and we have to do something about it.	Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
910	2257	We have a tremendous deficit in trade with China, and we have to do something about it.	Last year we lost $500 billion on trade with China.				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
910	5752	We have a tremendous deficit in trade with China, and we have to do something about it.	Were losing now over $500 billion a year in terms of imbalance with China.				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
910	13159	We have a tremendous deficit in trade with China, and we have to do something about it.	China now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars.				agree	agree	agree	agree	unknown	unknown	TRUE	unknown
910	14462	We have a tremendous deficit in trade with China, and we have to do something about it.	On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded and "as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
1091	1967	And he spent $3 billion and got nothing.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
1092	1967	And he started making nuclear weapons a day later.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
1092	1987	And he started making nuclear weapons a day later.	North Korea's history of international negotiations shows "they'll take the concessions, they'll keep them in their pocket and then they won't deliver."				agree	unrelated	agree	agree	unknown	unknown	unknown	unknown
1157	11987	But the United States, now, is almost twice the size of the economy of China.	TheU.S. economy"is three times asbig as China's."		date		agree	agree	agree	agree	TRUE	unknown	TRUE	TRUE
